X,Y,ORIENTATION,LS 0-179,LC 180-359,LD 360-539
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
3.3347859532526416e-05,0.0048415742491613,7.90330109283651e-05,0.0001420859449166,0.0166057928388984,0.0079347664949161
0.0001414184540301,0.0038933268966398,6.040719134978031e-05,0.0002200030109743,0.0214019366384954,0.0051293368826683
0.00035989817185,0.0027902688268103,6.933075895499138e-05,0.002319180434974,0.0345831050198745,0.0104888973493734
0.0026354646142936,0.0017824827510691,8.598151068817196e-05,0.0064021104120203,0.0512710148416142,0.02021091784327
0.0073663193165776,0.0009676283745976,0.0001213744841343,0.0135114885435482,0.0577247054329786,0.0349907569185412
0.015321959679285,0.000343304067471,0.0001259566488109,0.0226577271438372,0.0673674625888036,0.049124348014869
0.0259095699601931,2.6833217685787103e-05,0.0001653000135919,0.0369545937537351,0.0795427419886953,0.0664379773523988
0.9330285438513451,0.1345281966814043,0.010464903325762,0.7230175784349812,0.1195164274654256,0.100517438643538
0.9370615945155464,0.1118358875250613,0.0100750505510097,0.6892739245079413,0.1017156511991545,0.1076333003920781
0.9421167782469873,0.0833299718243564,0.0009505154616116,0.6483358677342821,0.0428702754840554,0.0327338276753415
0.946295066355153,0.0645005692050162,0.0003710973235307,0.6164241239227707,0.0097543455717283,0.0079030102100244
0.946295066355153,0.0645005692050162,0.0003710973235307,0.6164241239227707,0.0097543455717283,0.0079030102100244
0.946295066355153,0.0645005692050162,0.0003710973235307,0.6164241239227707,0.0097543455717283,0.0079030102100244
0.946295066355153,0.0645005692050162,0.0003710973235307,0.6164241239227707,0.0097543455717283,0.0079030102100244
0.9285369570589452,0.057030661305381,0.0008669160039591,0.5982794823002944,0.0066664773098839,0.0050439622551931
0.9351321736737096,0.0488969703234555,0.001704663511054,0.5827362494563965,0.0044482069443909,0.0026841030630148
0.9435273958982504,0.0397564047079706,0.0031177484645962,0.563671661561291,0.0020053049591401,0.0007807490682053
0.2239570377240543,0.4453091273271004,0.1702342868496731,0.3028929547204296,0.1317831523381664,0.188874965409545
0.1844269987770505,0.4165332703439142,0.1408081183607449,0.2624923601505907,0.1469925881288526,0.1371689210577234
0.1433667957912927,0.3789923077196669,0.1094962503481753,0.2169979364789569,0.1358416170311329,0.097505444057105
0.116493369293804,0.3518844411146838,0.0886740234014238,0.1874117914858331,0.1320914506868711,0.0727667187399514
0.0995020793924641,0.3148711079192248,0.0745591348588995,0.1635587532335313,0.124908763596198,0.0553422919666479
0.0822148515636926,0.2735001413189912,0.0642948497152519,0.1438346178591272,0.1245882312403154,0.0421578073458413
0.0702135781691173,0.2365554452630481,0.056320069108348,0.1282979454455928,0.1174171728191495,0.0326601044878519
0.0547713276301079,0.1781484174830619,0.0390123414602032,0.0976254513436378,0.0949589859019971,0.0122380551550418
0.04169944882475,0.13375669849361,0.0259517987908748,0.0742007045869307,0.0865599612308566,0.0013643809540879
0.0349413054761299,0.0925637606116759,0.0156440880257042,0.0495710875998631,0.0651888982312592,0.0003796738756578
0.0290699024296599,0.0584147078093887,0.0071198765871964,0.0301781421445842,0.0560542996374416,0.0055100900011482
0.0259825822872483,0.0325384263244118,0.0018702673141581,0.0148861458475187,0.0414742175052781,0.0129326607609811
0.0228367532085991,0.0140166564006394,2.072684590155628e-06,0.0048831692658353,0.0237430249435261,0.0222578998339081
0.0215526303037173,0.0027574957452662,0.0016469477617867,0.0002146752827325,0.0130090622928152,0.0259019123761512
0.0212089765145507,0.0001174969395223,0.0063374465018517,0.001448142979309,0.0008251126372933,0.027710686022019
0.0214184462181896,0.0019826187288339,0.0117973856127004,0.005682808926425,0.0001742318609971,0.0234629958201444
0.0225568540391661,0.0118138206077187,0.0219763041360294,0.0163833687921233,0.0073985959677174,0.0192082871973993
0.0249364781466527,0.0220817060116815,0.0260923483521225,0.0226798534308842,0.0124396491977421,0.0194176824814928
0.0270865241861438,0.0352772294231749,0.0317249920996033,0.030742031940641,0.018841016780768,0.019321496394479
0.0325441280059407,0.0510799352301824,0.0394230710389551,0.0412335172780459,0.0310960702038783,0.0185725992906445
0.0390860604751651,0.0717900149591013,0.0499794417245849,0.0561431149435743,0.0453947022837655,0.0177756015389015
0.0407121083207697,0.0913472046200751,0.065301463689034,0.0776518372682276,0.0565572121377512,0.0169651570743392
0.0427972281221793,0.1212473562223812,0.0887348043950663,0.1105391599124184,0.1002781905200463,0.0157488624931415
0.0389097345902168,0.1487545791252403,0.1132353917712526,0.1410233109696841,0.1082970298475342,0.0130216107442307
0.0014500492190457,0.4187217901524062,0.3719668583887248,0.4472967975357293,0.4026192838591235,0.1405326335005572
0.0010269657383274,0.5132890680789494,0.4507059762580566,0.584810501198991,0.5336328047305328,0.1677845915667581
0.0083621546403449,0.6226781337898897,0.5500942691447188,0.7856628081694902,0.7405376459255822,0.219424467223357
