Time,X,Y,Vel Lin,LF 0-179,LF 180-359,360-539
1648214153.9568102,-0.8976275393973175,-0.0374187500088689,0.2795506596565247,0.768555556403266,2.156611108779907,4.532444414827559
1648214154.0569046,-0.9213590814808974,-0.0387981212752758,0.2795506596565247,0.7989444447888269,2.073222230043676,4.546444414721595
1648214154.3568494,-1.0295921931811889,-0.0467023269859951,0.2795506596565247,0.891888890001509,2.361444451742702,4.397944438457489
1648214154.456769,-1.0522193385183078,-0.0485975050210363,0.2795506596565247,0.9134444437093205,2.5717777685986625,4.433944430616167
1648214154.756888,-1.1202064135969303,-0.0545179934495015,0.2795506596565247,1.0030555539660984,3.3061666468779247,4.20099999109904
1648214155.056836,-1.2098014670722912,-0.06623608763301,0.2795506596565247,1.08277777797646,3.026333323121071,4.06755552954144
1648214155.1568334,-1.254340793062327,-0.0695291693260187,0.2795506596565247,1.1037777788109249,3.3313333216640686,4.1188888682259455
1648214155.4568455,-1.319534363525639,-0.0745724486806553,0.2795506596565247,1.1672222233480878,3.429555543926027,3.8093333184719085
1648214155.5568657,-1.3643863615070009,-0.0777555396675123,0.2795506596565247,1.182555557290713,3.5326111048460005,3.807444434695774
1648214155.856878,-1.4358423356101129,-0.080870441328267,0.2795506596565247,1.2481666657659742,3.8231110946999656,3.6427777462535436
1648214155.95678,-1.4577072404687128,-0.0823398277277828,0.2751809656620026,1.263833331068357,4.0393888625833725,3.477777781089147
1648214156.2569072,-1.5517898565386137,-0.0897369678724944,0.0,1.3283333324723774,4.052555539541775,3.45311110218366
1648214156.556873,-1.5342675130178167,-0.0878343222839434,0.0,1.3101111051109102,3.7868888626495996,3.2555555562178293
1648214156.6568878,-1.533738982243742,-0.0874550089549991,0.0,1.3111666623089049,4.066999973853429,3.2507222168975405
1648214156.9567966,-1.5389833344817367,-0.0884328104086028,0.0173064926639199,1.3161666644944086,4.069222202234798,3.248444437980652
1648214157.0568852,-1.5383571899621096,-0.0885632906584214,0.1003463141620159,1.314999994635582,3.9344444351063834,3.2499999940395354
1648214157.3568666,-1.5386450108169305,-0.1043523015246392,0.1659073546528816,1.3279444475968678,4.16944441696008,3.2361111130979325
1648214157.4568896,-1.5357842138373066,-0.1380753072806701,0.1659073546528816,1.3283333331346512,4.190055535899268,3.2319444404708015
1648214157.6568398,-1.532752990032162,-0.1649716430449947,0.1615376606583595,1.3474444445636538,4.129611111680666,3.3121666689713796
1648214157.7568457,-1.5317271080828632,-0.1863142816768843,0.1571679666638374,1.3535555521647136,4.144499981072214,3.209999998410543
1648214158.0568986,-1.527914163267957,-0.2257861429109069,0.1571679666638374,1.367277773221334,4.441555541422632,3.418166646692488
1648214158.1568656,-1.5271803503292338,-0.2497260983071096,0.1527982726693153,1.3725555539131165,4.306944419278039,3.1334444483121238
1648214158.456829,-1.5245471427591315,-0.2841730520000997,0.1440588846802711,1.383166664507654,4.549555542733934,2.9905555513170032
1648214158.5568414,-1.5239200707703984,-0.2957447929203797,0.1440588846802711,1.417388889193535,4.754166658719381,2.7302777687708537
1648214158.856878,-1.5300367643290531,-0.3460580078449939,0.139689177274704,1.6633333345254262,5.033333328035143,2.0559444420867496
1648214159.1568968,-1.533415603043372,-0.3757396611135696,0.1003463141620159,1.779111111826367,5.425722206963433,1.8479444397820366
1648214159.2567928,-1.5348543705919668,-0.3845594837521147,0.082867531478405,1.8332777751816645,5.285888885127173,1.8095555537276797
1648214159.5568514,-1.5373461288333474,-0.414093866604823,0.0721165442600655,1.9873333281940884,5.183666674296061,1.6923889014456006
1648214159.656845,-1.5321048560903865,-0.4179607246387562,0.07038520116180938,1.9963888850477007,5.380888879299164,1.6742222368717194
1648214159.9568822,-1.5153173115377871,-0.4293243121925664,0.09196344743256517,2.047722221083111,5.389388876491123,1.6275555610656738
1648214160.2568588,-1.5086029639508816,-0.4527303126752551,0.09196863813511925,2.1524999996026355,5.311666637659073,1.5659444371859232
1648214160.3567915,-1.5074520590010223,-0.45997278153307,0.09196863813511925,2.1856666657659742,5.345222200287713,1.555722216102812
1648214160.656882,-1.5011556569751168,-0.4717152134978598,0.13973404414936869,2.338444442881478,5.2283888743983375,1.5304999967416129
1648214160.7568398,-1.4867375957801643,-0.4941850540271729,0.13973404414936869,2.395999997191959,4.9889444344573555,1.527888889445199
1648214161.05688,-1.4656469992142536,-0.5209057834876056,0.16590922098552252,2.5678333242734275,4.793055548932817,1.53850000500679
1648214161.1568606,-1.4626156972797557,-0.5303843486437646,0.19928871460331762,2.6127222100893657,5.166277750995424,1.5392777860164641
1648214161.3568995,-1.474531724715176,-0.570720427029076,0.21315925243937897,2.638666659593582,4.869055518839095,1.5109444465902118
