X,Y
0.0,0.0
-0.0146733384758792,-0.0009989840267324
-0.0310215529302232,-0.0023540506533119
-0.0516839839733329,-0.0040215353996281
-0.0747499048734726,-0.0059517344105525
-0.0984814469570525,-0.0073311056769595
-0.1438187672301899,-0.0100161424309477
-0.1646434178779231,-0.0117050075421466
-0.206714558657344,-0.0152353113876788
-0.2293417039944629,-0.0171304894227199
-0.2525052970517052,-0.0196240414512035
-0.2750500533783062,-0.0215682612132274
-0.2973287790730854,-0.0230509778511852
-0.3399548039040292,-0.0255026301894329
-0.3623401880777843,-0.0271229748041516
-0.3869238325484463,-0.0347690720346937
-0.431463158538482,-0.0380621537277024
-0.4528643161183379,-0.0396496151422175
-0.4746569294642349,-0.0415152073573464
-0.496656729001794,-0.0431054330823389
-0.541508726983156,-0.0462885240691959
-0.5633934973009456,-0.047928810892388
-0.5850420768519222,-0.0497256596431456
-0.612964701086268,-0.0494034257299507
-0.6348296059448679,-0.0508728121294664
-0.6784016057331201,-0.0535403412784813
-0.7002012360842476,-0.0553967683501301
-0.7289122220147688,-0.0582699522741781
-0.7265910148166752,-0.0582364697400948
-0.7180396934611788,-0.0571150736658161
-0.7113898784939718,-0.0563673066856271
-0.7108613477198971,-0.0559879933566827
-0.7174593824487314,-0.0567410642126898
-0.7184324767934307,-0.0570204868194482
-0.7161056999578919,-0.0569657948102865
-0.7154795554382647,-0.0570962750601051
-0.7155187534910288,-0.0579850896600705
-0.7159621266922533,-0.0623942968506187
-0.7157673762930856,-0.0728852859263229
-0.7129065793134617,-0.1066082916823538
-0.7109971406251752,-0.1211831895392706
-0.709875355508317,-0.1335046274466784
-0.7088494735590183,-0.154847266078568
-0.7077156820178174,-0.1669989528988881
-0.7063867349514352,-0.1807653734554652
-0.705036528744112,-0.1943191273125906
-0.704302715805389,-0.2182590827087933
-0.7037188484901,-0.2295534248359194
-0.7026585468460216,-0.2410351438439139
-0.7016695082352866,-0.2527060364017833
-0.7010424362465535,-0.2642777773220633
-0.7048090187465592,-0.2811466193002884
-0.7054762061842474,-0.2930144931029308
-0.7071591298052082,-0.3145909922466776
-0.7081135363473201,-0.3246713971695008
-0.7090104293133204,-0.3346390525613566
-0.7105379685195272,-0.3442726455152533
-0.711976736068122,-0.3530924681537983
-0.7149568738962999,-0.3674935590692922
-0.716406838542992,-0.3736912456508088
-0.7144684943095025,-0.3826268510065067
-0.7092272215665416,-0.3864937090404399
-0.7024861691917792,-0.3903321696172589
-0.696809215378652,-0.3941590248830821
-0.6924396770139423,-0.39785729659425
-0.6878382250259814,-0.4063788567782007
-0.6866094773303038,-0.4132169723699499
-0.6857253294270367,-0.4212632970769387
-0.6845744244771774,-0.4285057659347536
-0.6782780224512719,-0.4402481978995435
-0.6638599612563194,-0.4627180384288566
-0.6567592376993361,-0.4719936519587082
-0.6427693646904087,-0.4894387678892893
-0.6397380627559108,-0.4989173330454483
-0.6456615923525848,-0.522979792355375
-0.651654090191331,-0.5392534114307597
-0.6599652780166485,-0.575054408713133
-0.6622024109601987,-0.592158563403834
-0.6646541231256082,-0.6219879753841377
-0.6685500812978413,-0.6450105637824316
-0.671109772863018,-0.6612002874995455
-0.6732669417922932,-0.6768313876664568
